번호,구분,지원분야,지원기관,지원형태,지원시책내용,진행여부
1,전용지원 프로그램,기술확보,한국산업기술진흥원,전용,WC300프로젝트  R&D 지원,진행
2,전용지원 프로그램,기술확보,한국지식재산전략원,전용,WC300 R&D 사업 특허전략 수립지원사업,진행
3,전용지원 프로그램,시장확대,대한무역투자진흥공사,전용,중소중견기업 글로벌화 지원(월드챔프),진행
4,연계지원시책,기술확보,한국디자인진흥원,우대,글로벌 성장단계 후보기업 경영전주기 디자인 연계 우대가점,진행
5,연계지원시책,인력확보,잡코리아,우대,온라인 상시 채용관 구축을 통해 인재확보 지원,진행
6,연계지원시책,인력확보,국가과학기술연구회,우대,기술혁신형 인력지원사업 우대 가점,진행
7,연계지원시책,금융지원,무역보험공사,우대,글로벌성장사다리(Trade Champ) 서류심사시우대 가점,진행
8,연계지원시책,금융지원,수출입은행,우대,"포괄수출금융 한도우대, 수출중소기업 특례신용대출 평가시 가점, 우대금리, 여신한도 확대 적용 등 우대 지원",진행
9,연계지원시책,금융지원,산업은행,우대,"KDB Global Star 참여시 우대 지원(신청자격 요건 면제, 재무 요건 심사 면제 등)",진행
10,연계지원시책,금융지원,하나은행,우대,자금지원 및 수수료 감면 등 우대 지원,진행
11,연계지원시책,금융지원,농협은행,우대,자금지원 및 보증료 등 우대 지원,진행
12,연계지원시책,금융지원,SGI서울보증,우대,"보험요율 할인, 보증한도 확대 등 우대 지원",진행
13,연계지원시책,금융지원,스탠다드차타드은행,우대,글로벌 금융 지원(해외 현지법인 금융지원 서비스 등),진행
14,연계지원시책,컨설팅,한국지식재산전략원,우대,글로벌 기술혁신 IP 전략개발 지원사업 우대 지원(중견기업),진행
15,연계지원시책,컨설팅,한국지식재산보호원,우대,지재권 연계 연구개발 전략지원사업 우대 지원(중소기업),진행
